 ,Area,Mean,Min,Max
1,467,255,255,255
2,320,255,255,255
3,394,255,255,255
4,322,255,255,255
5,310,255,255,255
6,280,255,255,255
7,330,255,255,255
8,311,255,255,255
9,359,255,255,255
10,330,255,255,255
11,329,255,255,255
12,341,255,255,255
13,389,255,255,255
14,429,255,255,255
15,361,255,255,255
16,349,255,255,255
17,361,255,255,255
18,325,255,255,255
19,379,255,255,255
20,313,255,255,255
21,399,255,255,255
22,375,255,255,255
23,454,255,255,255
24,342,255,255,255
25,376,255,255,255
26,372,255,255,255
27,318,255,255,255
28,368,255,255,255
29,276,255,255,255
30,290,255,255,255
31,344,255,255,255
32,379,255,255,255
33,376,255,255,255
34,387,255,255,255
35,364,255,255,255
36,477,255,255,255
37,377,255,255,255
38,313,255,255,255
39,381,255,255,255
40,466,255,255,255
41,381,255,255,255
42,309,255,255,255
43,316,255,255,255
44,396,255,255,255
45,439,255,255,255
46,369,255,255,255
47,476,255,255,255
48,344,255,255,255
49,333,255,255,255
50,420,255,255,255
51,257,255,255,255
52,351,255,255,255
53,399,255,255,255
54,315,255,255,255
55,317,255,255,255
56,358,255,255,255
57,335,255,255,255
58,485,255,255,255
59,269,255,255,255
60,448,255,255,255
61,370,255,255,255
62,323,255,255,255
63,366,255,255,255
64,384,255,255,255
65,469,255,255,255
66,330,255,255,255
67,268,255,255,255
68,393,255,255,255
69,288,255,255,255
70,439,255,255,255
71,481,255,255,255
72,266,255,255,255
73,403,255,255,255
74,301,255,255,255
75,347,255,255,255
76,292,255,255,255
77,331,255,255,255
78,329,255,255,255
79,486,255,255,255
80,368,255,255,255
81,406,255,255,255
82,239,255,255,255
83,395,255,255,255
84,300,255,255,255
85,357,255,255,255
86,467,255,255,255
87,412,255,255,255
88,290,255,255,255
89,326,255,255,255
90,475,255,255,255
91,418,255,255,255
92,424,255,255,255
93,405,255,255,255
94,381,255,255,255
95,403,255,255,255
96,339,255,255,255
97,444,255,255,255
98,392,255,255,255
99,280,255,255,255
100,294,255,255,255
101,269,255,255,255
102,419,255,255,255
103,342,255,255,255
104,384,255,255,255
105,292,255,255,255
106,450,255,255,255
107,341,255,255,255
108,378,255,255,255
109,267,255,255,255
110,485,255,255,255
111,296,255,255,255
112,360,255,255,255
113,370,255,255,255
114,407,255,255,255
115,367,255,255,255
116,328,255,255,255
117,209,255,255,255
118,268,255,255,255
119,181,255,255,255
120,284,255,255,255
121,292,255,255,255
122,388,255,255,255
123,414,255,255,255
124,287,255,255,255
125,348,255,255,255
126,306,255,255,255
127,476,255,255,255
128,400,255,255,255
129,441,255,255,255
130,460,255,255,255
131,491,255,255,255
132,411,255,255,255
133,330,255,255,255
134,281,255,255,255
135,337,255,255,255
136,340,255,255,255
137,310,255,255,255
138,438,255,255,255
139,442,255,255,255
140,304,255,255,255
141,331,255,255,255
142,299,255,255,255
143,335,255,255,255
144,378,255,255,255
145,401,255,255,255
146,407,255,255,255
147,420,255,255,255
148,349,255,255,255
149,360,255,255,255
150,377,255,255,255
151,291,255,255,255
152,275,255,255,255
153,410,255,255,255
154,389,255,255,255
155,336,255,255,255
156,243,255,255,255
157,275,255,255,255
158,350,255,255,255
159,401,255,255,255
160,386,255,255,255
161,370,255,255,255
162,431,255,255,255
163,399,255,255,255
164,439,255,255,255
165,378,255,255,255
166,381,255,255,255
167,470,255,255,255
168,398,255,255,255
169,297,255,255,255
170,499,255,255,255
171,317,255,255,255
172,442,255,255,255
173,377,255,255,255
174,277,255,255,255
175,300,255,255,255
176,371,255,255,255
177,243,255,255,255
178,347,255,255,255
179,336,255,255,255
180,358,255,255,255
181,260,255,255,255
182,401,255,255,255
183,345,255,255,255
184,274,255,255,255
185,404,255,255,255
186,371,255,255,255
187,419,255,255,255
188,410,255,255,255
189,339,255,255,255
190,287,255,255,255
191,332,255,255,255
192,369,255,255,255
193,274,255,255,255
194,302,255,255,255
195,334,255,255,255
196,453,255,255,255
197,308,255,255,255
198,266,255,255,255
199,350,255,255,255
200,276,255,255,255
201,442,255,255,255
202,284,255,255,255
203,373,255,255,255
204,495,255,255,255
205,431,255,255,255
206,222,255,255,255
207,281,255,255,255
208,310,255,255,255
209,303,255,255,255
210,395,255,255,255
211,374,255,255,255
212,426,255,255,255
213,368,255,255,255
214,293,255,255,255
215,374,255,255,255
216,428,255,255,255
217,319,255,255,255
218,454,255,255,255
219,303,255,255,255
220,463,255,255,255
221,242,255,255,255
222,402,255,255,255
223,349,255,255,255
224,229,255,255,255
225,461,255,255,255
226,333,255,255,255
227,372,255,255,255
228,299,255,255,255
229,238,255,255,255
230,273,255,255,255
231,279,255,255,255
232,283,255,255,255
233,275,255,255,255
234,272,255,255,255
235,412,255,255,255
236,401,255,255,255
237,251,255,255,255
238,269,255,255,255
239,328,255,255,255
240,297,255,255,255
241,296,255,255,255
242,285,255,255,255
243,249,255,255,255
244,385,255,255,255
245,446,255,255,255
246,296,255,255,255
247,237,255,255,255
248,381,255,255,255
249,252,255,255,255
250,269,255,255,255
251,296,255,255,255
252,303,255,255,255
253,410,255,255,255
254,338,255,255,255
255,420,255,255,255
256,237,255,255,255
257,235,255,255,255
258,343,255,255,255
259,306,255,255,255
260,366,255,255,255
261,400,255,255,255
262,368,255,255,255
263,254,255,255,255
264,338,255,255,255
265,283,255,255,255
266,325,255,255,255
267,281,255,255,255
268,368,255,255,255
269,240,255,255,255
270,334,255,255,255
271,337,255,255,255
272,363,255,255,255
273,374,255,255,255
274,451,255,255,255
275,373,255,255,255
276,319,255,255,255
277,159,255,255,255
278,273,255,255,255
279,267,255,255,255
280,410,255,255,255
281,294,255,255,255
282,320,255,255,255
283,307,255,255,255
284,285,255,255,255
285,169,255,255,255
286,321,255,255,255
287,379,255,255,255
288,280,255,255,255
289,496,255,255,255
290,290,255,255,255
291,330,255,255,255
292,375,255,255,255
293,470,255,255,255
294,365,255,255,255
295,300,255,255,255
296,336,255,255,255
297,320,255,255,255
298,313,255,255,255
299,333,255,255,255
300,307,255,255,255
301,292,255,255,255
302,342,255,255,255
303,315,255,255,255
304,293,255,255,255
305,385,255,255,255
306,379,255,255,255
307,409,255,255,255
308,282,255,255,255
309,375,255,255,255
310,347,255,255,255
311,316,255,255,255
312,481,255,255,255
313,302,255,255,255
314,311,255,255,255
315,303,255,255,255
316,314,255,255,255
317,278,255,255,255
318,330,255,255,255
319,337,255,255,255
320,295,255,255,255
321,427,255,255,255
322,306,255,255,255
323,290,255,255,255
324,339,255,255,255
325,336,255,255,255
326,353,255,255,255
327,313,255,255,255
328,313,255,255,255
329,321,255,255,255
330,376,255,255,255
331,307,255,255,255
332,430,255,255,255
333,444,255,255,255
334,352,255,255,255
335,276,255,255,255
336,290,255,255,255
337,480,255,255,255
338,311,255,255,255
339,319,255,255,255
340,300,255,255,255
341,284,255,255,255
342,298,255,255,255
343,282,255,255,255
344,290,255,255,255
345,263,255,255,255
346,285,255,255,255
347,333,255,255,255
348,353,255,255,255
349,370,255,255,255
350,300,255,255,255
351,408,255,255,255
352,295,255,255,255
353,402,255,255,255
354,401,255,255,255
355,312,255,255,255
356,484,255,255,255
357,300,255,255,255
358,375,255,255,255
359,302,255,255,255
360,319,255,255,255
361,348,255,255,255
362,496,255,255,255
363,311,255,255,255
364,340,255,255,255
365,337,255,255,255
366,384,255,255,255
367,316,255,255,255
368,286,255,255,255
369,313,255,255,255
370,335,255,255,255
371,420,255,255,255
372,313,255,255,255
373,271,255,255,255
374,365,255,255,255
375,311,255,255,255
376,379,255,255,255
377,339,255,255,255
378,315,255,255,255
379,298,255,255,255
380,300,255,255,255
381,315,255,255,255
382,292,255,255,255
383,172,255,255,255
384,333,255,255,255
385,349,255,255,255
386,326,255,255,255
387,168,255,255,255
388,310,255,255,255
389,351,255,255,255
390,326,255,255,255
391,320,255,255,255
392,376,255,255,255
393,291,255,255,255
394,388,255,255,255
395,284,255,255,255
396,338,255,255,255
397,318,255,255,255
398,339,255,255,255
399,327,255,255,255
400,301,255,255,255
401,177,255,255,255
402,406,255,255,255
403,342,255,255,255
404,460,255,255,255
405,362,255,255,255
406,448,255,255,255
407,275,255,255,255
408,368,255,255,255
409,440,255,255,255
410,313,255,255,255
411,340,255,255,255
412,293,255,255,255
413,331,255,255,255
414,316,255,255,255
415,325,255,255,255
416,337,255,255,255
417,317,255,255,255
418,368,255,255,255
419,324,255,255,255
420,423,255,255,255
421,307,255,255,255
422,436,255,255,255
